branch_name,address,map_link
CO.OPMART SCA HOÀNG VĂN THỤ,"Số 431A Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình",https://maps.app.goo.gl/YAeJxDasGxFfdwTt6
CO.OPMART TAM BÌNH,"0.01 Khu Chung Cư Cao Tầng Kết Hợp Tm-Dv Tại Lô Bc, Đường 4, K.P4, Phường Tam Bình, Thành Phố Thủ Đức",https://maps.app.goo.gl/TLV8Xknqg2pXtcnK9
CO.OPMART TUY LÝ VƯƠNG,"40 - 54  Tuy Lý Vương, Phường 13, Quận 8",https://maps.app.goo.gl/PPEymXxDJNKDqmnB9
CO.OPMART VĂN THÁNH,"561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh",https://maps.app.goo.gl/a5rBBMJFniYDywsB9
CO.OPMART XA LỘ HÀ NỘI,"191 Quang Trung, Phuờng Hiệp Phú, Quận Thủ Đức",https://maps.app.goo.gl/Mr9RScoVsxoWYrdo8
CO.OPMART PHẠM THẾ HIỂN,"2225 Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",https://maps.app.goo.gl/ECN46dP6dthrH3uD6
CO.OPMART BÌNH TÂN,"TTTM Kiến Thành, Số 158 Đường 19, Phường Bình Trị Đông B, Quận Bình Tân",https://maps.app.goo.gl/MdX3kFu2FuXX8ScL6
CO.OPMART BÌNH TÂN 2,"819 Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân",https://maps.app.goo.gl/b9wSpYQcFwc7CCCC9
CO.OPMART CỦ CHI,"357 Quốc Lộ 22, Ấp Thượng, Xã Tân Thông Hội, Huyện Củ Chi",https://maps.app.goo.gl/ay4neQGpAYR32DkJA
CO.OPMART ĐỖ VĂN DẬY,"18 Đỗ Văn Dậy, Ấp Tân Thới 1, Xã Tân Hiệp, Huyện Hóc Môn",https://maps.app.goo.gl/q4cUYxVsa4GJ8V558
CO.OPMART QUANG TRUNG (FOODCOSA),"340A Quang Trung, Phường 11, Quận Gò Vấp",https://maps.app.goo.gl/4L6Srj82czYgcTvk7
CO.OPMART HIỆP THÀNH,"276 Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12",https://maps.app.goo.gl/ttcBD1SCqJLofALV8
CO.OPMART HÓC MÔN,"Số 380 Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn, Huyện Hóc Môn",https://maps.app.goo.gl/1nghdXtBhw6ih5w8A
CO.OPMART LÝ THƯỜNG KIỆT,"497 Hòa Hảo, Phường 7, Quận 10",https://maps.app.goo.gl/JLrJKqDE7xRXF7u4A
CO.OPMART NGUYỄN ẢNH THỦ,"167/2  Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12",https://maps.app.goo.gl/ZyyPAtqy3ubWGdVt9
CO.OPMART NGUYỄN ĐÌNH CHIỂU,"168 Nguyễn Đình Chiểu, Phường Võ Thị Sáu, Quận 3",https://maps.app.goo.gl/CPvPfgpqtMDqWdQv8
CO.OPMART NGUYỄN KIỆM,"571 - 573 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận",https://maps.app.goo.gl/SWwZAzZRCAwcpRtDA
CO.OPMART NHIÊU LỘC,"Cao Ốc Screc, Đường Trường Sa, Phường 12, Quận 3",https://maps.app.goo.gl/fi17Eib1XG6A8HnCA
CO.OPMART PHAN VĂN HỚN,"102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12",https://maps.app.goo.gl/1eRx3Trv3vqrwQCo6
CO.OPMART PHAN VĂN TRỊ,"543/1 Phan Văn Trị, Phường 7, Quận Gò Vấp",https://maps.app.goo.gl/p1DMj8Y8EdV9W3ip8
CO.OPMART RẠCH MIỄU,"48 Hoa Sứ, Phường 7, Quận Phú Nhuận",https://maps.app.goo.gl/w44qUU1NZBoX7aiZA
CO.OPMART THẮNG LỢI,"02 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",https://maps.app.goo.gl/NjsBVw34yBuzKq8y6
CO.OPMART TÔ KÝ,"Số 557 Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12",https://maps.app.goo.gl/rZAznEtq8QkEFskx5
CO.OPMART VĨNH LỘC B,"02 Khu Tái Định Cư Vĩnh Lộc B, Đường Số 8, Vĩnh Lộc B, Huyện Bình Chánh",https://maps.app.goo.gl/5bgyA4w871jBW85b9
CO.OP BẮC GIANG,"51 Nguyễn Văn Cừ, Phường Ngô Quyền, Tp. Bắc Giang, Tỉnh Bắc Giang",https://maps.app.goo.gl/4GaWdAez3c9q7QTe7
CO.OP HÀ ĐÔNG,"Tầng 1, Tòa Nhà Ct6 Xa La, Số 339 Quốc Lộ 70B, Cầu Bươu, Phường Kiến Hưng, Quận Hà Đông, Thành Phố Hà Nội",https://maps.app.goo.gl/eWPdMcDYfYCTKscC7
CO.OP HÀ NỘI,"Km Số 10, Đường Nguyễn Trãi, Phường Mộ Lao, Quận Hà Đông, Tp. Hà Nội",https://maps.app.goo.gl/eJSoibYij5omwftx8
CO.OPMART HÀ TĨNH,"02 Phan Đình Phùng, Thành Phố Hà Tĩnh, Tỉnh Hà Tĩnh",https://maps.app.goo.gl/9EU9guo3rYp7Q3QH9
CO.OPMART HẢI PHÒNG,"TTTM Cát Bi Plaza, 01 Lê Hồng Phong, Quận Ngô QuyềN, TP. Hải Phòng",https://maps.app.goo.gl/LQCZ4ShmntbVLEDL8
CO.OPMART SCA GOLDENSILK,"Tầng Hầm, Tòa Tháp C, Khu Đô Thị Mới Kim Văn Kim Lũ, Phường Đại Kim, Quận Hoàng Mai",https://maps.app.goo.gl/wnG76m9xXvsULaVu6
CO.OPMART SCA GOLDSILK,"Tầng Trệt Khu Phức Hợp Thương Mại Nhà Ở Goldsilk, Số 430, Phố Cầu Am Phường Vạn Phúc, Quận Hà Đông",https://maps.app.goo.gl/hXMpJYMrxofe5ia5A
CO.OPMART SCA LONG BIÊN,"Tầng 2,  Trung Tâm Thương Mại Mipec Riverside, Số 2,  Phố Long Biên Ii,  Phường Ngọc Lâm, Quận Long Biên",https://maps.app.goo.gl/zWDWvrDcbWBKMQmb6
CO.OPMART SCA VICTORIA,"Tầng Trệt Tòa Nhà V2, V3 - Văn Phú Victoria - Ct9, Khu Đô Thị Mới Văn Phú, Phường Phú La,  Quận Hà Đông",https://maps.app.goo.gl/A627Htwy4sNgyb7HA
CO.OPMART THANH HÓA,"TTTM Hiền Đức, Đường Phan Chu Trinh, Phường Điện Biên, Tp. Thanh Hóa",https://maps.app.goo.gl/4NfvEqQimFvwGjS5A
CO.OPMART VIỆT TRÌ,"1606A Đường Hùng Vương, Phường Gia Cẩm, Thành Phố Việt Trì, Tỉnh Phú Thọ",https://maps.app.goo.gl/VZ9aaJvRbfHRx4Pg8
CO.OPMART VĨNH PHÚC,"TTTM Soiva Plaza, Đường Mê Linh, Phường Khải Quang, Tp. Vĩnh Yên, Tỉnh Vĩnh Phúc",https://maps.app.goo.gl/ZiDrNV7dBa5quhCq8
CO.OPMART BẾN LỨC,"61 Quốc Lộ 1A, Khu Phố 4, Thị Trấn Bến Lức, Huyện Bến Lức, Tỉnh Long An",https://maps.app.goo.gl/Yr2tnwmD8a9p3V7b9
CO.OPMART BẾN TRE,"26A Trần Quốc Tuấn, Phường 4, Tp. Bến Tre, Tỉnh Bến Tre",https://maps.app.goo.gl/VV5mdkNAjyxXsxGJ8
CO.OPMART CAI LẬY,"Số 79 Đường 30/4, Khu Phố 2, Phường 1, Thị Xã Cai Lậy, Tỉnh Tiền Giang",https://maps.app.goo.gl/HwRE4ct2uUBTJYrJA
CO.OPMART CẦN GIUỘC,"Tuyến Tránh Ql50, Khu Phố Thanh Ba, Thị Trấn Cần Giuộc, Huyện Cần Giuộc, Tỉnh Long An",https://maps.app.goo.gl/ktTv5o2tdL8XEihb8
CO.OPMART CAO LÃNH,"01 Ngô Thời Nhậm, Phường 1, Tp. Cao Lãnh, Tỉnh Đồng Tháp",https://maps.app.goo.gl/8h8FbQBCCPi6Vpku6
CO.OPMART DUYÊN HẢI,"Đường Lý Thường Kiệt, Phường 1, Thị Xã Duyên Hải, Tỉnh Trà Vinh",https://maps.app.goo.gl/8u7ErpHxVnhxhymeA
CO.OPMART GÒ CÔNG,"Đường Trần Công Tường, Phường 5, Tx. Gò Công, Tỉnh Tiền Giang",https://maps.app.goo.gl/FzVAiGTSwZNMTbvF8
CO.OPMART HỒNG NGỰ,"Khu Nhà Cao Ốc Kii, Phường An Thạnh, Thành Phố Hồng Ngự, Tỉnh Đồng Tháp",https://maps.app.goo.gl/xgSaC2xe6vhF3FcH8
CO.OPMART TÂN AN,"01 Mai Thị Tốt, Khu Chợ Mới, Phường 2, Tp. Tân An, Tỉnh Long An",https://maps.app.goo.gl/dZR4NveBqgH7zAEe6
CO.OPMART MỸ THO,"35 Ấp Bắc, Phường  5, Thành Phố Mỹ Tho, Tỉnh Tiền Giang",https://maps.app.goo.gl/9f7c57gYRDJn19tc7
CO.OPMART SA ĐÉC,"371 Đường Nguyễn Sinh Sắc, Khóm 2, Phường 2, Thành Phố Sa Đéc, Tỉnh Đồng Tháp",https://maps.app.goo.gl/LBcqaWHJ1mRHsCXZ8
CO.OP TIỂU CẦN,"Khóm 2, Thị Trấn Tiểu Cần, Huyện Tiểu Cần, Tỉnh Trà Vinh",https://maps.app.goo.gl/jyvo2H9zRkjKZ9QE7
CO.OPMART THÁP MƯỜI,"Đường Hùng Vương, Thị Trấn Mỹ An, Huyện Tháp Mười, Tỉnh Đồng Tháp",https://maps.app.goo.gl/smgVdLHoFyDXxZPu8
CO.OPMART CÁI BÈ,"Khu 2, Thị Trấn Cái Bè, Huyện Cái Bè, Tỉnh Tiền Giang",https://maps.app.goo.gl/Rm4Cipu8QdxeZrMU7
CO.OPMART TRÀ VINH,"Nguyễn Đáng, Khóm 3, Phường 6, Tp. Trà Vinh, Tỉnh Trà Vinh",https://maps.app.goo.gl/hSEHreu9C9cuSQWMA
CO.OPMART VĨNH LONG,"26 Đường 3/2, Phường 1, Thị Xã Vĩnh Long, Tỉnh Vĩnh Long",https://maps.app.goo.gl/HcjxpwFcX8UvLKTG9
CO.OPMART BẠC LIÊU,07 Trần Huỳnh - Phường 7 -  Thành Phố Bạc Liêu - Tỉnh Bạc Liêu,https://maps.app.goo.gl/PGJfwuox2t2VWaCA8
CO.OPMART BÌNH THỦY,"35-37 Cmt8, P. An Thới, Q. Bình Thủy, Tp. Cần Thơ",https://maps.app.goo.gl/oByoNCfzMQByhfsc9
CO.OPMART CHỢ MỚI,"Đường Tỉnh 942, Ấp Long Hòa, Thị Trấn Chợ Mới, Huyện Chợ Mới, Tỉnh An Giang",https://maps.app.goo.gl/tfKhWNvZPVzgYckK9
CO.OPMART CÀ MAU,09 Trần Hưng Đạo - Phường 5 - Thành Phố Cà Mau - Tỉnh Cà Mau,https://maps.app.goo.gl/x21tYXEStfJAavCw6
CO.OPMART CẦN THƠ,01 Đại Lộ Hòa Bình - Phường Tân An - Quận Ninh Kiều - Thành Phố Cần Thơ,https://maps.app.goo.gl/LJBqu1dvVJfrz53G8
CO.OPMART CHÂU ĐỐC,"Tổ 21 Khóm Châu Quới, Phường Châu Phú B, Thành Phố Châu Đốc, Tỉnh An Giang",https://maps.app.goo.gl/13LtyqfewhmMJeFS8
CO.OPMART HÀ TIÊN,"Số 20, Đường Mạc Công Du, Khu Phố 2, Phường Đông Hồ, Thành Phố Hà Tiên, Tỉnh Kiên Giang",https://maps.app.goo.gl/MXAGLdc6mWGEC2LSA
CO.OPMART  KIÊN GIANG,1332 Nguyễn Trung Trực - Phường An Bình - Tp. Rạch Giá - Tỉnh Kiên Giang,https://maps.app.goo.gl/iFzTJ14VLivrzNfx7
CO.OPMART LONG XUYÊN,12 Nguyễn Huệ  -  Phường Mỹ Long - Tp.Long Xuyên - Tỉnh An Giang,https://maps.app.goo.gl/LGX6NnRozB6G9zVM7
CO.OPMART NGÃ BẢY HẬU GIANG,Khu Vực 3 - Phường Ngã Bảy – Tx. Ngã Bảy - Tỉnh Hậu Giang,https://maps.app.goo.gl/YGc7c63CV3kDVFVv5
CO.OPMART RẠCH GIÁ,Khu Tttm Th Phường Vĩnh Thanh Vân - Tp. Rạch Giá - Tỉnh Kiên Giang,https://maps.app.goo.gl/j3MBZQ8mWTE8ur2J6
CO.OPMART SÓC TRĂNG,Số 6 Hùng Vương - Khóm 6 – Phường 6 - Tp. Sóc Trăng - Tỉnh Sóc Trăng,https://maps.app.goo.gl/VvTpXHatJCRdKrp96
CO.OPMART  TÂN CHÂU (AG),"Khóm Long Thạnh D, Phường Long Thạnh, Thị Xã Tân Châu, Tỉnh An Giang",https://maps.app.goo.gl/uYc7s8HKoz5mAWcA7
CO.OPMART THOẠI SƠN,"Ấp Bắc Sơn, Đường Tránh Tỉnh Lộ 943, Tt. Núi Sập. H. Thoại Sơn, Tỉnh An Giang",https://maps.app.goo.gl/a6oR6GeQnFaBR8C27
CO.OPMART THỐT NỐT,"Quốc Lộ 91, Khu Vực Phụng Thạnh 1, Phường Thốt Nốt, Quận Thốt Nốt, Tp. Cần Thơ",https://maps.app.goo.gl/8BxwrUjJXzN3oRf1A
CO.OPMART VỊ THANH,319 Trần Hưng Đạo - Phường 1 - Thành Phố Vị Thanh - Tỉnh Hậu Giang,https://maps.app.goo.gl/AjcDTFJ1m2mGHyMV8
